City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Colby,39.3958,-101.0524,76.08,64,40,18.41,US,1683751582
121,Gonzaga,44.9498,10.8209,55.69,96,100,4.34,IT,1683751582
122,Oakdale,44.963,-92.9649,78.44,48,0,10.36,US,1683751583
123,Meadow Lakes,61.6247,-149.6011,55.62,40,0,13.8,US,1683751583
124,Vadsø,70.0744,29.7487,47.28,75,0,5.75,NO,1683751583
125,Ciudad del Carmen,18.6333,-91.8333,93.24,49,20,8.05,MX,1683751584
126,Kargasok,59.0556,80.8572,38.25,56,6,10.27,RU,1683751584
127,West Island,-12.1568,96.8225,80.58,94,75,14.97,CC,1683751584
128,Anadyr,64.75,177.4833,34.3,75,0,8.95,RU,1683751479
129,Umarkot,25.3616,69.7362,88.86,22,0,14.23,PK,1683751585
130,Pisco,-13.7,-76.2167,73.45,64,0,17.27,PE,1683751472
131,Mungwi,-10.1732,31.3694,56.46,85,92,3.2,ZM,1683751585
132,Xining,36.6167,101.7667,39.31,82,100,2.13,CN,1683751585
133,Atafu Village,-8.5421,-172.5159,84.6,76,9,17.16,TK,1683751531
134,Krasnyy Chikoy,50.3643,108.7512,44.01,91,83,2.51,RU,1683751586
135,Whitehorse,60.7161,-135.0538,59.81,32,75,18.41,CA,1683751289
136,Dubai,25.2582,55.3047,89.53,31,0,3.44,AE,1683751427
137,Oranjemund,-28.55,16.4333,56.62,93,69,0.67,NA,1683751587
138,Eirunepé,-6.6603,-69.8736,78.55,83,96,1.83,BR,1683751587
139,Tura,25.5198,90.2201,76.73,61,0,5.21,IN,1683751587
140,Toliara,-23.35,43.6667,75.11,75,96,2.84,MG,1683751588
141,Kyshtovka,56.555,76.6271,46.96,34,100,5.06,RU,1683751588
142,Geraldton,-28.7667,114.6,59.41,77,100,5.75,AU,1683751588
143,Bandarbeyla,9.4942,50.8122,81.25,87,100,5.08,SO,1683751588
144,Carnarvon,-24.8667,113.6333,67.1,73,0,20.24,AU,1683751589
145,Esfarāyen,37.0765,57.5101,56.86,66,96,1.41,IR,1683751589
146,Khovd,48.0056,91.6419,49.26,46,30,8.03,MN,1683751589
147,Cecerleg,47.475,101.4542,40.66,66,11,9.55,MN,1683751589
148,Clear Lake,43.138,-93.3794,78.96,51,0,14.97,US,1683751507
149,Haiku-Pauwela,20.9219,-156.3051,78.82,68,20,27.63,US,1683751590
150,San Cristobal,7.7669,-72.225,80.78,63,54,5.19,VE,1683751379
151,Argenta,44.6124,11.8356,56.21,97,100,9.84,IT,1683751590
